id,context,headword,mangarrayi,english,translation,ref,speaker,category1,category2 ,contenttags,functiontags
1,,,a-ngi-yag jorroy-wu                                                                      ,Let's you & I go bush medicine for,Let's (you and I) go for  bush medicine,,,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
2,,,jorroy ngirla-minyi,bush medicine they & I were getting,we were getting jorroy,Sheila_Syrita_Friday 20 July ,,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
3,,,a-ngirla-yag,maybe you mob & I go,Let's (they & I) go,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
4,,,a-ngirla-mi,maybe you mob & I get,Let's (they & I) get,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
5,,,a-ngirla-yag a-ngirla-mi,could you mob & I go and maybe you mob & I get,Let's (they & I) go and get,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
6,,,nanangganawa ga-ngirla-mi,then   Pres   they & I get,then we get it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
7,,,warling nyan-mi,darling  I / you get,Darling I'll get you ...,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
8,,,ga-nya-mi-bayi narra jorroy,Pres you/it  get (emph) that bush medicine,you're getting that bush medicine,bush medicine July18.mp3, Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
9,,,jorroy nya-mi ,bush medicine you/it get,you get some bush medicine,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
10,,,narra-ba jorroy nya-mi,that (emph) bush medicine you get ,you get that bush medicine,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
11,,,nya-mi,you /it get,You get it ,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
12,,,wurr-yarr'mari,those two/it  were taking off,those two were taking them off (leaves),Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
13,,,Jagina niwa?,what    this,What's this?,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
14,,,mob ga-nya-ma, cut   Pres  you/it,you break it off,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
15,,,mod ga-nya-mi,cut    Pres  you/it,you cut it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
16,,,mob ja-wurla-ma ga-ngirla-ga-n,break  Pres they/it Pres They & I take,They break it and we take it,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
17,,,ber' ga-nya-ma,cut   Pres you,you cut it ,Sheila_Syrita_Friday 20 July ,,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
18,,,jurrgjurrg-nawu ja-yirr'ma na-dim-gu, leah    its           Pres  take off for sore,she takes off the leaves for sores,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
19,,,narra jurrgjurrg,that  leaf,they are leaves,Sheila_Syrita_Friday 20 July ,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
20,,,gurlag,,ti tree,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
21,,,gilirr,,gutta percha,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
22,,,darlugdarlug,,mistletoe,bush medicine July18.mp3,Sheila Conway,HEALTH & BODY CARE,Bush Medicine,,Going for bush medicine
